wavelength,watermilfoil,primrose,tule,soil,waterturbid,waterclear,npv,egeria,hyacinth,sagoturbid,pennywort,cattail,cabomba,curlyleaf,phragmites
1248.369995,0.015978,0.402042,0.169262,0.217057,0.010932,0.010189,0.418557,0.04906,0.368814,0.011422,0.40883,0.239929,0.014243,0.012772,0.305822
1253.380005,0.016,0.403454,0.170731,0.215549,0.011176,0.010027,0.424666,0.04921,0.370268,0.010847,0.409388,0.24365,0.014503,0.012171,0.303039
1258.390015,0.016092,0.403263,0.170172,0.215148,0.01054,0.009736,0.42505,0.049397,0.37072,0.010455,0.403742,0.242986,0.014635,0.012486,0.303499
1263.390015,0.015178,0.398737,0.168572,0.211792,0.011187,0.010145,0.418412,0.048617,0.36684,0.010231,0.403198,0.240542,0.014466,0.011959,0.299864
1268.400024,0.016049,0.397697,0.169037,0.212774,0.010457,0.009259,0.420028,0.049799,0.368813,0.010767,0.404926,0.242612,0.014387,0.012356,0.295678
1273.410034,0.01592,0.404955,0.173083,0.214812,0.010193,0.009433,0.425803,0.050012,0.36987,0.010792,0.410508,0.245511,0.013858,0.011405,0.299556
1278.420044,0.015725,0.410028,0.174905,0.220384,0.01078,0.009847,0.429999,0.048803,0.373766,0.010446,0.413648,0.246656,0.014519,0.012173,0.308342
1283.430054,0.015761,0.407959,0.173436,0.221568,0.011609,0.010227,0.431798,0.048595,0.372871,0.009969,0.411619,0.248736,0.013651,0.012604,0.30923
1288.439941,0.016439,0.407807,0.17495,0.222103,0.011504,0.00984,0.432385,0.048203,0.37283,0.010449,0.411438,0.247456,0.013505,0.012394,0.309785
1293.449951,0.015388,0.40761,0.172927,0.223793,0.010967,0.010117,0.437726,0.046628,0.372133,0.010439,0.412436,0.246529,0.012927,0.012741,0.314554
1298.459961,0.015512,0.401179,0.170504,0.223091,0.010786,0.009229,0.433244,0.045863,0.365883,0.010022,0.408908,0.243009,0.013364,0.0123,0.314729
1303.459961,0.015144,0.403743,0.172863,0.22881,0.011417,0.010212,0.444486,0.044843,0.364757,0.010631,0.411725,0.246565,0.012793,0.0129,0.321718
