Wavelength,water,soil,npv,veg,sav,emr
737.47998,0.029622,0.206499,0.207781,0.442649,0.031506,0.202313
742.48999,0.029608,0.211845,0.212685,0.476096,0.032259,0.208466
747.5,0.030297,0.212048,0.216768,0.498161,0.031769,0.215896
752.51001,0.029826,0.214185,0.221816,0.509991,0.030941,0.220012
757.52002,0.030118,0.213778,0.221198,0.521738,0.031943,0.225446
762.530029,0.030157,0.216501,0.227815,0.519703,0.031417,0.225894
767.539978,0.030159,0.216793,0.232107,0.530133,0.031884,0.231413
772.539978,0.030493,0.21989,0.236058,0.531933,0.031899,0.234807
777.549988,0.029863,0.221724,0.23922,0.534658,0.032235,0.237178
782.559998,0.030238,0.221574,0.2448,0.536346,0.032491,0.242516
787.570007,0.030965,0.222771,0.248002,0.536366,0.032532,0.24382
792.580017,0.029031,0.223264,0.250406,0.540297,0.032888,0.248389
797.590027,0.03035,0.225103,0.256563,0.543999,0.03338,0.251621
802.599976,0.031402,0.226368,0.259845,0.548923,0.03407,0.257025
807.609985,0.030538,0.227876,0.263302,0.54864,0.034038,0.257942
812.609985,0.029439,0.226663,0.266561,0.553861,0.034172,0.261059
817.619995,0.028972,0.22792,0.26963,0.555148,0.032963,0.26253
822.630005,0.027683,0.228543,0.275038,0.552854,0.032501,0.272052
827.640015,0.026981,0.22891,0.277514,0.556083,0.031077,0.270487
832.650024,0.027395,0.227491,0.280714,0.555825,0.030044,0.27152
837.659973,0.027981,0.23362,0.284878,0.555319,0.030296,0.274555
842.669983,0.027175,0.232958,0.287871,0.552079,0.029712,0.274633
847.669983,0.028446,0.235726,0.290937,0.55281,0.030181,0.279092
852.679993,0.027404,0.232917,0.295727,0.551847,0.029579,0.281482
857.690002,0.027763,0.232359,0.30119,0.555911,0.029532,0.284821
862.700012,0.026907,0.234759,0.301783,0.553641,0.02972,0.289078
867.710022,0.028025,0.233769,0.306312,0.556077,0.029897,0.291819
872.719971,0.026418,0.23412,0.30629,0.555816,0.029396,0.291626
877.72998,0.026951,0.235192,0.311633,0.560421,0.028732,0.293934
882.73999,0.026452,0.238041,0.314697,0.561754,0.028946,0.299587
887.73999,0.025419,0.23701,0.317522,0.564573,0.029038,0.300665
892.75,0.025607,0.236416,0.318214,0.564179,0.028651,0.30441
897.76001,0.023899,0.23454,0.320628,0.565705,0.027964,0.304881
902.77002,0.024231,0.235834,0.32632,0.567273,0.027171,0.3064
907.780029,0.023772,0.237234,0.326084,0.567468,0.026819,0.310332
912.789978,0.023045,0.236125,0.327728,0.569381,0.028317,0.313487
917.799988,0.023173,0.239425,0.333519,0.570976,0.027113,0.317756
922.809998,0.023407,0.237617,0.330756,0.563571,0.026522,0.315109
927.809998,0.021604,0.232653,0.329742,0.566139,0.025288,0.314333
932.820007,0.018804,0.234745,0.33391,0.559543,0.026393,0.322168
937.830017,0.022417,0.243697,0.336922,0.560825,0.025867,0.318718
942.840027,0.020397,0.235937,0.334006,0.552601,0.024453,0.316423
